ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-09-12 01:09:07,976830,4294698,LoL: Hanwha Life Esports vs T1 - Game 1 Winner,map,1,2026-09-12 05:00:00,230.9,Hanwha Life Esports,110760534996338128481332860105673923741285619145513775205369534069914431681880,0.54,0.55,0.545,0.01,1383.57,14857.49,17581.12,454.02,18007.59,21717.75,33,31,5756.05742
2026-09-12 01:09:07,976830,4294698,LoL: Hanwha Life Esports vs T1 - Game 1 Winner,map,1,2026-09-12 05:00:00,230.9,T1,32536859019553121172302341228210626287862067044251926669309244836988043315199,0.45,0.46,0.455,0.01,358.64,13084.86,15615.8,1224.5,13671.1,16431.75,31,33,5756.05742
2026-09-12 01:09:07,976830,4294700,LoL: Hanwha Life Esports vs T1 - Game 2 Winner,map,2,2026-09-12 05:00:00,230.9,Hanwha Life Esports,9273462586119579369425415438440269521391918521481787165309720552710270560484,0.55,0.56,0.555,0.01,314.59,4193.83,5040.79,284.71,4094.73,6991.37,27,30,
2026-09-12 01:09:07,976830,4294700,LoL: Hanwha Life Esports vs T1 - Game 2 Winner,map,2,2026-09-12 05:00:00,230.9,T1,59590013052003921675443723512061718518705621192426615765619180193456540977060,0.44,0.45,0.445,0.01,217.98,2967.48,4869.23,265.4,3819.16,4664.46,30,27,
2026-09-12 01:09:07,976830,4294702,LoL: Hanwha Life Esports vs T1 - Game 3 Winner,map,3,2026-09-12 05:00:00,230.9,Hanwha Life Esports,95013883955514833311927209045824471817687105158033422349032728646062995141383,0.55,0.56,0.555,0.01,278.1,4171.9,5067.15,249.59,4030.11,6950.3,28,29,17.54386
2026-09-12 01:09:07,976830,4294702,LoL: Hanwha Life Esports vs T1 - Game 3 Winner,map,3,2026-09-12 05:00:00,230.9,T1,1130081955229420658313817068415819711975436118584797135781497216051351063668,0.44,0.45,0.445,0.01,189.5,2918.5,4835.69,235.99,3802.19,4695.36,29,28,17.54386
2026-09-12 01:09:07,976830,4294704,LoL: Hanwha Life Esports vs T1 - Game 4 Winner,map,4,2026-09-12 05:00:00,230.9,Hanwha Life Esports,67709173044533874756977457709994497998601284901347835044216033819429682662052,0.53,0.55,0.54,0.02,16.17,620.49,620.49,1159.35,1172.88,12580.08,20,22,
2026-09-12 01:09:07,976830,4294704,LoL: Hanwha Life Esports vs T1 - Game 4 Winner,map,4,2026-09-12 05:00:00,230.9,T1,25893532462175346383823398575471503741787318249226638016702950663450874649576,0.45,0.47,0.46,0.02,911.44,921.44,8526.44,14.75,616.94,616.94,22,20,
2026-09-12 01:09:07,976830,4294706,LoL: Hanwha Life Esports vs T1 (BO5) - LCK Playoffs,series,,2026-09-12 05:00:00,230.9,Hanwha Life Esports,48695112555672485727777248446585038036780756395855109591575492967792057631373,0.6,0.61,0.605,0.01,218122.41,268491.48,285288.62,83996.89,135178.82,139751.24,41,33,362238.4367500002
2026-09-12 01:09:07,976830,4294706,LoL: Hanwha Life Esports vs T1 (BO5) - LCK Playoffs,series,,2026-09-12 05:00:00,230.9,T1,4771608182684132069154659378294591113535720319539132420981074656489816904281,0.39,0.4,0.395,0.01,51533.95,80980.62,83416.2,151212.26,188032.19,201671.35,33,41,362238.4367500002
2026-09-12 01:09:07,976830,4294708,Games Total: O/U 3.5,total_games,,2026-09-12 05:00:00,230.9,Over,40135636771341807086343266882804236111907598997089201361044713543663191056013,0.75,0.76,0.755,0.01,6875.99,7533.81,8266.65,19755.98,24785.15,28881.85,38,23,10525.113255000002
2026-09-12 01:09:07,976830,4294708,Games Total: O/U 3.5,total_games,,2026-09-12 05:00:00,230.9,Under,66897409120379476265579798714162528894142793762056567871073514491354345262366,0.24,0.25,0.245,0.01,5916.11,7321.78,8345.08,2292.13,2537.23,2849.9,23,38,10525.113255000002
2026-09-12 01:09:07,976830,4294710,Games Total: O/U 4.5,total_games,,2026-09-12 05:00:00,230.9,Over,15038938224442852107516703742778152084805396277893504209346606513247757587453,0.35,0.36,0.355,0.01,65.0,2362.51,12665.56,126.97,8272.82,9501.88,22,20,845.3934889999999
2026-09-12 01:09:07,976830,4294710,Games Total: O/U 4.5,total_games,,2026-09-12 05:00:00,230.9,Under,72007587973081699251007830556351071867104429841334045942671865689565193962157,0.64,0.65,0.645,0.01,217.6,13481.75,15323.69,122.9,4991.35,28898.3,20,22,845.3934889999999
2026-09-12 01:09:07,976830,4294712,Game Handicap: HLE (-1.5) vs T1 (+1.5),handicap,,2026-09-12 05:00:00,230.9,Hanwha Life Esports,103436642831854285502872752468000685883962084592150138032454619517884471065820,0.4,0.41,0.405,0.01,5487.6,10479.06,13744.61,15729.73,29757.87,31548.91,25,30,7474.895931000001
2026-09-12 01:09:07,976830,4294712,Game Handicap: HLE (-1.5) vs T1 (+1.5),handicap,,2026-09-12 05:00:00,230.9,T1,88770776198944782337772628897884650061638153373799268424543515546158495389024,0.59,0.6,0.595,0.01,21738.33,40314.33,42453.28,8573.99,16783.73,22728.18,30,25,7474.895931000001
2026-09-12 01:09:07,976830,4294714,Game Handicap: HLE (-2.5) vs T1 (+2.5),handicap,,2026-09-12 05:00:00,230.9,Hanwha Life Esports,41478382860708308934371077533054624474986155619891751286348537044261767089080,0.17,0.18,0.175,0.01,24.82,2331.0,3084.04,1526.06,2483.92,5292.85,17,22,1271.864411
2026-09-12 01:09:07,976830,4294714,Game Handicap: HLE (-2.5) vs T1 (+2.5),handicap,,2026-09-12 05:00:00,230.9,T1,57845207411810380506501637779875278034208158981586564885493183691829321868895,0.82,0.83,0.825,0.01,6535.39,10227.05,20140.26,128.42,13910.66,19182.29,22,17,1271.864411
2026-09-12 01:09:07,976830,4294716,First Blood in Game 1?,first_blood,1,2026-09-12 05:00:00,230.9,Hanwha Life Esports,88152216853050512480576980232568551055998055506795011386824266573083556588095,0.47,0.57,0.52,0.1,39.77,39.77,39.77,48.23,48.23,48.23,11,13,
2026-09-12 01:09:07,976830,4294716,First Blood in Game 1?,first_blood,1,2026-09-12 05:00:00,230.9,T1,37895054569259803632042481312411241036915897027576115549352470908275353382763,0.43,0.53,0.48,0.1,36.38,36.38,36.38,44.84,44.84,44.84,13,11,
2026-09-12 01:09:07,976830,4294718,Total Kills Over/Under 30.5 in Game 1?,total_kills,1,2026-09-12 05:00:00,230.9,Over,75257963812571782050190695188016132176857734676305232660339287331442167796259,0.42,0.44,0.43,0.02,3081.64,3081.64,3081.64,88.0,88.0,113.04,12,13,19.979685
2026-09-12 01:09:07,976830,4294718,Total Kills Over/Under 30.5 in Game 1?,total_kills,1,2026-09-12 05:00:00,230.9,Under,53278388212837905426038699974042564099134306508227623016612004503158606441898,0.56,0.58,0.57,0.02,112.0,112.0,138.68,4434.18,4434.18,4434.18,13,12,19.979685
2026-09-12 01:09:07,976830,4294720,Total Kills Over/Under 27.5 in Game 1?,total_kills,1,2026-09-12 05:00:00,230.9,Over,102694310720094103928808107243209167414633307976280080094315795220018915989332,0.61,0.65,0.63,0.04,76.0,76.0,4290.24,211.25,224.0,224.0,31,18,6445.96576
2026-09-12 01:09:07,976830,4294720,Total Kills Over/Under 27.5 in Game 1?,total_kills,1,2026-09-12 05:00:00,230.9,Under,64964648283281555417387236629436638490065557028248559024112761212478179701834,0.35,0.39,0.37,0.04,113.75,119.75,119.75,50.47,50.47,3361.22,18,31,6445.96576
2026-09-12 01:09:07,976830,4294722,First Blood in Game 2?,first_blood,2,2026-09-12 05:00:00,230.9,Hanwha Life Esports,76282037727089160576708095582580888696253239758472224484995877355499457570721,0.46,0.56,0.51,0.1,149.5,149.5,149.5,182.0,182.0,182.0,9,12,
2026-09-12 01:09:07,976830,4294722,First Blood in Game 2?,first_blood,2,2026-09-12 05:00:00,230.9,T1,71532403528640784049099810662228288195518680754764711497110831782088507966104,0.44,0.54,0.49,0.1,143.0,143.0,143.0,175.5,175.5,175.5,12,9,
2026-09-12 01:09:07,976830,4294724,Total Kills Over/Under 27.5 in Game 2?,total_kills,2,2026-09-12 05:00:00,230.9,Over,104274426665085237233720366031094393268151877249704781168940169942027293489755,0.58,0.67,0.625,0.09,4355.8,4355.8,7275.79,51.54,51.54,51.54,27,17,5791.248576
2026-09-12 01:09:07,976830,4294724,Total Kills Over/Under 27.5 in Game 2?,total_kills,2,2026-09-12 05:00:00,230.9,Under,87878762363853404462061815539497891568240588514867590068578623629142247274642,0.33,0.42,0.375,0.09,25.38,25.38,25.38,3154.2,3154.2,5734.2,17,27,5791.248576
2026-09-12 01:09:07,976830,4294726,Total Kills Over/Under 30.5 in Game 2?,total_kills,2,2026-09-12 05:00:00,230.9,Over,55361094779186634147919357820189236354854870752118341438869727105769668267321,0.44,0.47,0.455,0.03,869.8,869.8,869.8,26.68,2480.68,2480.68,11,13,832.259372
2026-09-12 01:09:07,976830,4294726,Total Kills Over/Under 30.5 in Game 2?,total_kills,2,2026-09-12 05:00:00,230.9,Under,103923760044037395393031731609598836679782358622870443165232513540696501019683,0.53,0.56,0.545,0.03,29.01,2583.01,2583.01,1152.71,1152.71,1152.71,13,11,832.259372
2026-09-12 01:09:07,976830,4294728,First Blood in Game 3?,first_blood,3,2026-09-12 05:00:00,230.9,Hanwha Life Esports,73739090953192590780606767957285492696252976388615057198085457450344722198644,0.46,0.56,0.51,0.1,149.5,149.5,149.5,182.0,182.0,182.0,8,11,
2026-09-12 01:09:07,976830,4294728,First Blood in Game 3?,first_blood,3,2026-09-12 05:00:00,230.9,T1,52009159515524284405192162124760607258497609647311325469805979937798918344673,0.44,0.54,0.49,0.1,143.0,143.0,143.0,175.5,175.5,175.5,11,8,
