ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-07-25 18:47:03,692729,2884698,LoL: FlyQuest vs LYON - Game 1 Winner,map,1,2026-07-25 20:00:00,72.9,FlyQuest,1952381008796680895746192723326718198576830059659552979391686690650294702637,0.56,0.57,0.565,0.01,1817.28,3742.31,4900.32,3847.96,6477.46,7422.34,34,35,1502.61014
2026-07-25 18:47:03,692729,2884698,LoL: FlyQuest vs LYON - Game 1 Winner,map,1,2026-07-25 20:00:00,72.9,LYON,58111121880102241404792455898403784251506811481420173609500779091715908489290,0.43,0.44,0.435,0.01,2799.53,4600.33,5202.68,1447.51,3125.99,4205.21,35,34,1502.61014
2026-07-25 18:47:03,692729,2884699,LoL: FlyQuest vs LYON - Game 2 Winner,map,2,2026-07-25 20:00:00,72.9,FlyQuest,16362931305592089367929079416843489725861756239412814242329914171706447404887,0.56,0.57,0.565,0.01,1632.46,2964.95,4475.9,1918.06,4022.0,4501.09,35,33,1038.8076369999999
2026-07-25 18:47:03,692729,2884699,LoL: FlyQuest vs LYON - Game 2 Winner,map,2,2026-07-25 20:00:00,72.9,LYON,77644482131340851136741825060999488305678158387088125583096175106512985059595,0.43,0.44,0.435,0.01,1401.41,2829.34,3132.82,1296.54,2463.91,3876.04,33,35,1038.8076369999999
2026-07-25 18:47:03,692729,2884706,LoL: FlyQuest vs LYON (BO3) - LCS Regular Season,series,,2026-07-25 20:00:00,72.9,FlyQuest,83123231684886296299995633958572264654288512655923836176425323186129887622416,0.57,0.58,0.575,0.01,24492.85,39338.69,43536.06,40106.82,59535.72,60887.55,46,39,163515.09164899983
2026-07-25 18:47:03,692729,2884706,LoL: FlyQuest vs LYON (BO3) - LCS Regular Season,series,,2026-07-25 20:00:00,72.9,LYON,103550971460013348407143263875377501487305323660066711059669248992141604439632,0.42,0.43,0.425,0.01,28652.8,41333.84,42141.49,19150.62,31392.96,35136.48,39,47,163515.09164899983
2026-07-25 18:47:03,692729,2884707,Games Total: O/U 2.5,total_games,,2026-07-25 20:00:00,72.9,Over,5236642224793015048675581527310968352330780934269335565747743310327117752830,0.48,0.49,0.485,0.01,1758.33,5464.78,6699.32,5920.99,9319.75,10146.53,31,29,1155.191574
2026-07-25 18:47:03,692729,2884707,Games Total: O/U 2.5,total_games,,2026-07-25 20:00:00,72.9,Under,110507408969944223407888596763651559507201447779903845354077313279280666259450,0.51,0.52,0.515,0.01,5937.95,9146.65,9851.87,1955.88,6411.9,8001.58,29,31,1155.191574
2026-07-25 18:47:03,692729,2884708,Game Handicap: LY (-1.5) vs FlyQuest (+1.5),handicap,,2026-07-25 20:00:00,72.9,LYON,36630848090383997460307749643420884672482904883796429845427259817895077427142,0.2,0.21,0.205,0.01,222.38,593.8,1046.84,105.0,239.8,852.8,17,32,918.0856100000001
2026-07-25 18:47:03,692729,2884708,Game Handicap: LY (-1.5) vs FlyQuest (+1.5),handicap,,2026-07-25 20:00:00,72.9,FlyQuest,69905048354342689490078355507473085502323863011368748640507078626188678601866,0.79,0.8,0.795,0.01,395.0,822.9,2621.9,920.42,2698.52,5177.28,32,17,918.0856100000001
