ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-08-10 02:11:36,819608,3438888,LoL: Hanwha Life Esports vs Gen.G - Game 1 Winner,map,1,2026-08-10 06:00:00,228.4,Hanwha Life Esports,52346309268678779626528680277629864732512319292328045909648321830946594552782,0.46,0.47,0.465,0.01,7461.17,8034.89,8137.03,3529.85,6560.18,6565.28,29,23,668.4196190000001
2026-08-10 02:11:36,819608,3438888,LoL: Hanwha Life Esports vs Gen.G - Game 1 Winner,map,1,2026-08-10 06:00:00,228.4,Gen.G,29761003975844127972564249704760540939065906446198963682145402403487986041260,0.53,0.54,0.535,0.01,3856.2,6992.72,6997.62,8991.18,9733.97,9876.73,23,29,668.4196190000001
2026-08-10 02:11:36,819608,3438889,LoL: Hanwha Life Esports vs Gen.G - Game 2 Winner,map,2,2026-08-10 06:00:00,228.4,Hanwha Life Esports,11780520660007715613365757711625804021439456291787437107163540772633285605449,0.46,0.47,0.465,0.01,4968.33,5537.19,5634.2,2786.08,5602.53,5669.41,27,28,43.883641000000004
2026-08-10 02:11:36,819608,3438889,LoL: Hanwha Life Esports vs Gen.G - Game 2 Winner,map,2,2026-08-10 06:00:00,228.4,Gen.G,67497233287532332251008302285821004118262103748375487448031700571753223516967,0.53,0.54,0.535,0.01,3030.35,5961.03,6025.27,5954.44,6705.64,6845.23,28,27,43.883641000000004
2026-08-10 02:11:36,819608,3438892,LoL: Hanwha Life Esports vs Gen.G (BO3) - KeSPA Cup Last Chance Qualifier,series,,2026-08-10 06:00:00,228.4,Hanwha Life Esports,42779891655260651953727165793383453337908167276712565359091264215666447344864,0.46,0.47,0.465,0.01,912.53,10611.77,11703.66,12590.9,16083.3,16796.45,41,43,49822.220601000015
2026-08-10 02:11:36,819608,3438892,LoL: Hanwha Life Esports vs Gen.G (BO3) - KeSPA Cup Last Chance Qualifier,series,,2026-08-10 06:00:00,228.4,Gen.G,109856775380853048269023165693168181874094887619281601037108476677264846057603,0.53,0.54,0.535,0.01,13917.88,17431.51,18090.44,1103.42,13704.04,15236.26,43,41,49822.220601000015
2026-08-10 02:11:36,819608,3438893,Games Total: O/U 2.5,total_games,,2026-08-10 06:00:00,228.4,Over,72131413672667106380596118743905906685727743100977858383792850670052088805985,0.48,0.49,0.485,0.01,3926.01,6246.18,6638.47,5704.69,15103.09,15441.39,30,23,3328.6357569999996
2026-08-10 02:11:36,819608,3438893,Games Total: O/U 2.5,total_games,,2026-08-10 06:00:00,228.4,Under,74212195785081752181471370169315454881244656239468317287647264391060797345871,0.51,0.52,0.515,0.01,5731.18,14752.78,15052.77,4405.05,7129.7,7629.22,23,30,3328.6357569999996
2026-08-10 02:11:36,819608,3438895,Game Handicap: HLE (-1.5) vs Gen.G (+1.5),handicap,,2026-08-10 06:00:00,228.4,Hanwha Life Esports,29871497513981944725697769663961506115694792564901977073957503101108000131372,0.24,0.27,0.255,0.03,96.42,280.82,297.72,5.83,215.93,215.93,22,29,1166.43337
2026-08-10 02:11:36,819608,3438895,Game Handicap: HLE (-1.5) vs Gen.G (+1.5),handicap,,2026-08-10 06:00:00,228.4,Gen.G,60928223914320294046078766401473114494935937446954712832089259530918272495228,0.73,0.76,0.745,0.03,15.22,516.12,516.12,318.68,983.8,1055.86,29,22,1166.43337
2026-08-10 02:11:36,819608,3438897,Game 1: Both Teams Slay Baron Nashor?,prop,1,2026-08-10 06:00:00,228.4,Yes,24377462686088617288293652084822331698880947516005877357367496375762468017526,0.05,0.66,0.355,0.61,0.26,3.11,5.27,3.37,17.17,17.17,4,9,
2026-08-10 02:11:36,819608,3438897,Game 1: Both Teams Slay Baron Nashor?,prop,1,2026-08-10 06:00:00,228.4,No,11776572377938485764519540376286619693692481255449589891363339193057253982703,0.34,0.95,0.645,0.61,1.74,7.94,7.94,4.94,132.62,346.09,9,4,
2026-08-10 02:11:36,819608,3438898,Game 1: Both Teams Slay a Dragon?,prop,1,2026-08-10 06:00:00,228.4,Yes,75123064417044111670180009601405843336216917374394195146451500764197154136127,0.29,0.98,0.635,0.69,5.8,5.8,10.8,257.8,257.8,257.8,6,2,
2026-08-10 02:11:36,819608,3438898,Game 1: Both Teams Slay a Dragon?,prop,1,2026-08-10 06:00:00,228.4,No,56915470167250538870785474100861217448716567352364882433550487877374598497451,0.02,0.71,0.365,0.69,3.01,3.01,3.01,14.2,14.2,29.2,2,6,
2026-08-10 02:11:36,819608,3438899,Game 1: Both Teams Destroy Inhibitors?,prop,1,2026-08-10 06:00:00,228.4,Yes,80004897723629237584207445803448104140461542385394007910461515514846699673110,0.02,0.57,0.295,0.55,3.01,3.01,3.01,5.7,5.7,5.7,2,9,
2026-08-10 02:11:36,819608,3438899,Game 1: Both Teams Destroy Inhibitors?,prop,1,2026-08-10 06:00:00,228.4,No,52367633583532795800529717711157341571166422212593547031414559612306378464124,0.43,0.98,0.705,0.55,4.3,4.3,4.3,260.31,260.31,260.31,9,2,
2026-08-10 02:11:36,819608,3438900,Game 1: Any Player Quadra Kill?,prop,1,2026-08-10 06:00:00,228.4,Yes,6358701639330561948157619812834378707672835120863203583034359530194728807503,0.01,0.57,0.29,0.56,0.05,0.05,0.05,5.7,5.7,5.7,1,8,
2026-08-10 02:11:36,819608,3438900,Game 1: Any Player Quadra Kill?,prop,1,2026-08-10 06:00:00,228.4,No,69948707821169459291803663001187870084645349067256686651740067669339453209802,0.43,0.99,0.71,0.56,4.3,4.3,4.3,4.95,4.95,4.95,8,1,
2026-08-10 02:11:36,819608,3438902,Game 1: Any Player Penta Kill?,prop,1,2026-08-10 06:00:00,228.4,Yes,100843831186524667607821437943376423894617751994642781691622368198168655048903,0.01,0.56,0.285,0.55,0.05,0.05,0.05,5.6,5.6,5.6,1,8,
2026-08-10 02:11:36,819608,3438902,Game 1: Any Player Penta Kill?,prop,1,2026-08-10 06:00:00,228.4,No,29022937106147936380354765993563570805777051993152999877832039643585812652019,0.44,0.99,0.715,0.55,4.4,4.4,4.4,4.95,4.95,4.95,8,1,
2026-08-10 02:11:36,819608,3438904,Game 1: Odd/Even Total Kills?,odd_even,1,2026-08-10 06:00:00,228.4,Odd,113108684164505448867127464399823943178347936927010692941906979402479808839631,0.49,0.51,0.5,0.02,102.47,119.95,404.57,109.33,129.47,477.33,18,18,7.843136
2026-08-10 02:11:36,819608,3438904,Game 1: Odd/Even Total Kills?,odd_even,1,2026-08-10 06:00:00,228.4,Even,44680340700346615576192145308063197584322420120135176329459105000425231481121,0.49,0.51,0.5,0.02,104.21,121.36,405.98,107.5,128.03,475.89,18,18,7.843136
2026-08-10 02:11:36,819608,3438905,Game 2: Both Teams Slay Baron Nashor?,prop,2,2026-08-10 06:00:00,228.4,Yes,24538467131328193978550001776991749946010599991059189111345711697688074726267,0.02,0.55,0.285,0.53,2.79,2.79,2.79,9.77,15.47,15.47,2,15,10.7857
2026-08-10 02:11:36,819608,3438905,Game 2: Both Teams Slay Baron Nashor?,prop,2,2026-08-10 06:00:00,228.4,No,92537496257414715201747159594739456161890327364283873179631181624961873170261,0.45,0.98,0.715,0.53,7.87,12.17,12.17,249.56,249.56,249.56,15,2,10.7857
2026-08-10 02:11:36,819608,3438906,Game 2: Both Teams Slay a Dragon?,prop,2,2026-08-10 06:00:00,228.4,Yes,75298119086309346069954840367158389031049885739929598759760849233870777531290,0.29,0.98,0.635,0.69,5.8,5.8,10.8,263.42,263.42,263.42,5,2,12.949549999999999
2026-08-10 02:11:36,819608,3438906,Game 2: Both Teams Slay a Dragon?,prop,2,2026-08-10 06:00:00,228.4,No,104043256511365400426914273056161494365945469659868067315696861592061733002214,0.02,0.71,0.365,0.69,3.01,3.01,3.01,14.2,14.2,29.2,2,5,12.949549999999999
2026-08-10 02:11:36,819608,3438907,Game 2: Both Teams Destroy Inhibitors?,prop,2,2026-08-10 06:00:00,228.4,Yes,112349558262531866804490793683576273413213163967339819934074219234860313592762,0.02,0.57,0.295,0.55,3.01,3.01,3.01,5.7,5.7,5.7,2,9,
2026-08-10 02:11:36,819608,3438907,Game 2: Both Teams Destroy Inhibitors?,prop,2,2026-08-10 06:00:00,228.4,No,21364326922804474599288694678672762698189174487161812605236000074794280312430,0.43,0.98,0.705,0.55,4.3,4.3,4.3,260.31,260.31,260.31,9,2,
2026-08-10 02:11:36,819608,3438908,Game 2: Any Player Quadra Kill?,prop,2,2026-08-10 06:00:00,228.4,Yes,60394852159108761158739614441894013329248449999092661416642973217800268876346,0.01,0.57,0.29,0.56,0.05,0.05,0.05,5.7,5.7,5.7,1,8,
2026-08-10 02:11:36,819608,3438908,Game 2: Any Player Quadra Kill?,prop,2,2026-08-10 06:00:00,228.4,No,64258035641323894025135715950016909012813487493980314792535615057463010620537,0.43,0.99,0.71,0.56,4.3,4.3,4.3,4.95,4.95,4.95,8,1,
2026-08-10 02:11:36,819608,3438909,Game 2: Any Player Penta Kill?,prop,2,2026-08-10 06:00:00,228.4,Yes,3272718501562735252319825545050657769980818702877361481147950078994199045659,0.01,0.56,0.285,0.55,0.05,0.05,0.05,5.6,5.6,5.6,1,8,
2026-08-10 02:11:36,819608,3438909,Game 2: Any Player Penta Kill?,prop,2,2026-08-10 06:00:00,228.4,No,3463292909068978420571191284183952306145315530754827626110144390779601449929,0.44,0.99,0.715,0.55,4.4,4.4,4.4,4.95,4.95,4.95,8,1,
2026-08-10 02:11:36,819608,3438910,Game 2: Odd/Even Total Kills?,odd_even,2,2026-08-10 06:00:00,228.4,Odd,84155582040781279645728989193240834028346473690005914885747159136586871291487,0.49,0.51,0.5,0.02,104.21,121.36,405.98,109.33,129.47,477.33,18,18,
2026-08-10 02:11:36,819608,3438910,Game 2: Odd/Even Total Kills?,odd_even,2,2026-08-10 06:00:00,228.4,Even,93914707232107918314877939145246004259839636371944036123154755423557968840125,0.49,0.51,0.5,0.02,104.21,121.36,405.98,109.33,129.47,477.33,18,18,
