ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-09-13 01:06:19,1009706,4493136,LoL: Gen.G vs Hanwha Life Esports - Game 1 Winner,map,1,2026-09-13 05:00:00,233.7,Gen.G,111644870294929546150173313999727230586900585697732261792564322359094550582239,0.58,0.59,0.585,0.01,3418.9,17508.46,23838.66,14346.45,21458.15,28207.53,35,28,6838.8869840000025
2026-09-13 01:06:19,1009706,4493136,LoL: Gen.G vs Hanwha Life Esports - Game 1 Winner,map,1,2026-09-13 05:00:00,233.7,Hanwha Life Esports,66150365194592339450727903023879263314800678434426966833890615020957238238179,0.41,0.42,0.415,0.01,9696.64,14180.78,18076.4,2554.43,13911.86,19329.27,28,35,6838.8869840000025
2026-09-13 01:06:19,1009706,4493138,LoL: Gen.G vs Hanwha Life Esports - Game 2 Winner,map,2,2026-09-13 05:00:00,233.7,Gen.G,89623517147339378592211774884636269609413502645090548671881041569946411915708,0.57,0.58,0.575,0.01,405.99,2542.91,2841.93,1018.16,5417.71,8606.45,33,27,3847.42477
2026-09-13 01:06:19,1009706,4493138,LoL: Gen.G vs Hanwha Life Esports - Game 2 Winner,map,2,2026-09-13 05:00:00,233.7,Hanwha Life Esports,18171084928717431115160049579212862122452841815743932204789290422643997521792,0.42,0.43,0.425,0.01,711.33,3564.4,5455.91,312.69,2071.72,2341.7,27,33,3847.42477
2026-09-13 01:06:19,1009706,4493140,LoL: Gen.G vs Hanwha Life Esports - Game 3 Winner,map,3,2026-09-13 05:00:00,233.7,Gen.G,44225695110323242683494356771668288744381774724146382167525287899595434291205,0.57,0.58,0.575,0.01,1008.56,3660.39,4182.51,811.2,5868.05,7583.29,28,25,42
2026-09-13 01:06:19,1009706,4493140,LoL: Gen.G vs Hanwha Life Esports - Game 3 Winner,map,3,2026-09-13 05:00:00,233.7,Hanwha Life Esports,61769655141398160212094456249008693923028320609118546901340240628214787596166,0.42,0.43,0.425,0.01,563.8,3852.79,4868.98,767.44,2970.29,3443.38,25,28,42
2026-09-13 01:06:19,1009706,4493141,LoL: Gen.G vs Hanwha Life Esports - Game 4 Winner,map,4,2026-09-13 05:00:00,233.7,Gen.G,303345372575371926000312867929029858268129141077870608932324840262486961317,0.4,0.54,0.47,0.14,24.08,24.08,24.08,47.89,116.74,391.84,20,27,
2026-09-13 01:06:19,1009706,4493141,LoL: Gen.G vs Hanwha Life Esports - Game 4 Winner,map,4,2026-09-13 05:00:00,233.7,Hanwha Life Esports,114550605976213825537622283694367491107380641083475363991871421533282493006592,0.46,0.6,0.53,0.14,39.6,91.74,290.74,37.07,37.07,37.07,27,20,
2026-09-13 01:06:19,1009706,4493142,LoL: Gen.G vs Hanwha Life Esports (BO5) - LCK Playoffs,series,,2026-09-13 05:00:00,233.7,Gen.G,103817956732933161538836127905765868132840284628313195331810372637323673160469,0.63,0.64,0.635,0.01,55625.39,64184.73,65339.34,112646.75,134145.4,150366.92,42,29,262577.7073479999
2026-09-13 01:06:19,1009706,4493142,LoL: Gen.G vs Hanwha Life Esports (BO5) - LCK Playoffs,series,,2026-09-13 05:00:00,233.7,Hanwha Life Esports,102679720770494826914471965240304471341536583412943614503711428151493252184117,0.36,0.37,0.365,0.01,62007.26,72801.6,80283.72,32839.6,38378.39,39199.49,29,42,262577.7073479999
