ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-07-27 06:52:05,733055,3029540,LoL: T1 Academy vs Nongshim Esports Academy - Game 1 Winner,map,1,2026-07-27 08:00:00,67.9,T1 Academy,96672039662742695079111208017411267088715714997129314214586335602386746515094,0.58,0.61,0.595,0.03,160.85,2032.56,2076.84,17123.14,17318.07,18088.27,28,28,41.560415000000006
2026-07-27 06:52:05,733055,3029540,LoL: T1 Academy vs Nongshim Esports Academy - Game 1 Winner,map,1,2026-07-27 08:00:00,67.9,Nongshim Esports Academy,14344235323376738360916970029678894450053533190254441267723831344051482638320,0.39,0.42,0.405,0.03,10914.05,11024.74,11434.29,119.68,1630.72,1668.44,28,28,41.560415000000006
2026-07-27 06:52:05,733055,3029541,LoL: T1 Academy vs Nongshim Esports Academy - Game 2 Winner,map,2,2026-07-27 08:00:00,67.9,T1 Academy,115010912924412168294316085359114069171514783120197566470068162900766699969269,0.59,0.61,0.6,0.02,110.28,1945.53,1990.63,2188.55,3507.44,4649.79,27,29,13
2026-07-27 06:52:05,733055,3029541,LoL: T1 Academy vs Nongshim Esports Academy - Game 2 Winner,map,2,2026-07-27 08:00:00,67.9,Nongshim Esports Academy,104848097344739109487911461135940416100392382121784781514626694439313546198343,0.39,0.41,0.4,0.02,1341.45,2115.56,2713.47,79.52,1520.09,1556.99,29,27,13
2026-07-27 06:52:05,733055,3029542,LoL: T1 Academy vs Nongshim Esports Academy (BO3) - LCK Challengers League Rounds 3-4 Challenge Group,series,,2026-07-27 08:00:00,67.9,T1 Academy,102432241400604378961105116841291821042749105777889532696651217778152711872857,0.65,0.66,0.655,0.01,4016.87,4756.22,7183.22,45246.11,49664.87,52352.15,48,25,6883.095112000002
2026-07-27 06:52:05,733055,3029542,LoL: T1 Academy vs Nongshim Esports Academy (BO3) - LCK Challengers League Rounds 3-4 Challenge Group,series,,2026-07-27 08:00:00,67.9,Nongshim Esports Academy,29042621575563229134779243521641866032110360656207354268099367808099142194234,0.34,0.35,0.345,0.01,22890.1,24875.34,25995.97,2254.28,2702.93,4295.93,25,48,6883.095112000002
2026-07-27 06:52:05,733055,3029543,Games Total: O/U 2.5,total_games,,2026-07-27 08:00:00,67.9,Over,101799545947428982516214826898593597325754714395720791593785458678496296189453,0.47,0.48,0.475,0.01,483.3,1394.55,1611.94,78.75,775.91,2127.34,30,27,112.17054499999999
2026-07-27 06:52:05,733055,3029543,Games Total: O/U 2.5,total_games,,2026-07-27 08:00:00,67.9,Under,65303288749143426771900733634432162638722244608753515754473527097547019695063,0.52,0.53,0.525,0.01,83.44,754.23,1997.8,566.7,1680.45,1973.06,27,30,112.17054499999999
2026-07-27 06:52:05,733055,3029544,Game Handicap: T1.A (-1.5) vs Nongshim Esports Academy (+1.5),handicap,,2026-07-27 08:00:00,67.9,T1 Academy,55812950392021220878552155494761844111530496064844046524594689827266585845149,0.35,0.37,0.36,0.02,31.25,74.05,77.05,1.85,9855.45,9855.45,22,21,52.108932
2026-07-27 06:52:05,733055,3029544,Game Handicap: T1.A (-1.5) vs Nongshim Esports Academy (+1.5),handicap,,2026-07-27 08:00:00,67.9,Nongshim Esports Academy,11477267435016130956631486811643251844699828043586179516039791096265891964507,0.63,0.65,0.64,0.02,3.15,15409.55,15409.55,58.75,145.95,152.95,21,22,52.108932
