ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-09-11 05:04:08,993557,4404763,LoL: CyberCore Esports vs 1TAP Dino - Game 1 Winner,map,1,2026-09-11 09:00:00,235.9,CyberCore Esports,14820496961007607056475955624061865731458404309430891812098891148007595540385,0.3,0.67,0.485,0.37,62.58,109.85,149.99,94.88,191.72,359.82,20,14,
2026-09-11 05:04:08,993557,4404763,LoL: CyberCore Esports vs 1TAP Dino - Game 1 Winner,map,1,2026-09-11 09:00:00,235.9,1TAP Dino,115580660647123562031278542150511343703821968276558759414397837901865245405497,0.33,0.7,0.515,0.37,45.12,86.77,154.07,149.42,277.23,393.89,14,20,
2026-09-11 05:04:08,993557,4404764,LoL: CyberCore Esports vs 1TAP Dino - Game 2 Winner,map,2,2026-09-11 09:00:00,235.9,CyberCore Esports,34067642993454647458658625335006259525986795955011797274704860588321426019652,0.32,0.65,0.485,0.33,96.27,158.57,192.57,14.78,137.82,192.79,17,19,
2026-09-11 05:04:08,993557,4404764,LoL: CyberCore Esports vs 1TAP Dino - Game 2 Winner,map,2,2026-09-11 09:00:00,235.9,1TAP Dino,32029969198715366995426806326941469778757379112859953444407052644824711301493,0.35,0.68,0.515,0.33,7.77,66.58,91.13,210.73,360.4,447.83,19,17,
2026-09-11 05:04:08,993557,4404765,LoL: CyberCore Esports vs 1TAP Dino (BO3) - VCS Finals Regular Season,series,,2026-09-11 09:00:00,235.9,CyberCore Esports,18613322018361111434539535245619942321315915966809503060992527451061308666307,0.32,0.34,0.33,0.02,63.91,445.13,549.85,85.3,451.97,701.07,18,22,1393.63923
2026-09-11 05:04:08,993557,4404765,LoL: CyberCore Esports vs 1TAP Dino (BO3) - VCS Finals Regular Season,series,,2026-09-11 09:00:00,235.9,1TAP Dino,113184010040535073050403220589180441086560984445616254822041555021591893566262,0.66,0.68,0.67,0.02,164.7,799.58,1202.51,142.09,1064.13,1333.41,22,18,1393.63923
2026-09-11 05:04:08,993557,4404766,Games Total: O/U 2.5,total_games,,2026-09-11 09:00:00,235.9,Over,16416897021140140853351678591367752703337997521173718299316197773949760897303,0.14,0.5,0.32,0.36,4.4,4.4,8.4,5.0,5.0,5.0,6,8,
2026-09-11 05:04:08,993557,4404766,Games Total: O/U 2.5,total_games,,2026-09-11 09:00:00,235.9,Under,485272805931720840038164278688333367008364666975092268186998933503773007365,0.5,0.86,0.68,0.36,5.0,5.0,5.0,28.67,28.67,69.11,8,6,
2026-09-11 05:04:08,993557,4404767,Game 1: Both Teams Slay Baron Nashor?,prop,1,2026-09-11 09:00:00,235.9,Yes,27733235136667135272056669901597547861131523158859245849849488825385026945476,0.07,0.49,0.28,0.42,1.14,177.14,177.14,195.6,195.6,195.6,4,9,
2026-09-11 05:04:08,993557,4404767,Game 1: Both Teams Slay Baron Nashor?,prop,1,2026-09-11 09:00:00,235.9,No,9506434289731914488772694029234026362362405791500473636695188276521423513848,0.51,0.93,0.72,0.42,196.4,196.4,196.4,16.24,3360.24,3360.24,9,4,
